time,YJ7203.Open,YJ7203.High,YJ7203.Low,YJ7203.Close,YJ7203.Volume,YJ7203.Adjusted
2023/1/4,1798,1804,1787.5,1799,25995600,1799
2023/1/5,1812,1819.5,1793.5,1807.5,24700200,1807.5
2023/1/6,1809.5,1829,1806,1825,22568600,1825
2023/1/10,1837.5,1850,1821.5,1827,22352300,1827
2023/1/11,1824,1840,1822,1837.5,19798400,1837.5
2023/1/12,1839,1868,1838,1857.5,21573200,1857.5
2023/1/13,1828.5,1838.5,1811,1815.5,27779100,1815.5
2023/1/16,1800,1821,1794,1817.5,20486400,1817.5
2023/1/17,1826,1870.5,1825.5,1863,27345800,1863
2023/1/18,1861,1916,1846,1909.5,31290700,1909.5
2023/1/19,1850,1871,1847,1864.5,21969700,1864.5
2023/1/20,1851,1883,1851,1883,16703500,1883
2023/1/23,1900,1904,1883.5,1889,14661600,1889
2023/1/24,1913,1913,1899.5,1911.5,16261100,1911.5
2023/1/25,1900,1909,1898.5,1905,18486100,1905
2023/1/26,1899,1907.5,1889,1893,22613200,1893
2023/1/27,1902.5,1902.5,1886,1900.5,21336000,1900.5
2023/1/30,1900.5,1910,1896.5,1902,17617700,1902
2023/1/31,1910,1913.5,1895,1896.5,18849600,1896.5
2023/2/1,1911,1919,1902.5,1903,19250900,1903
2023/2/2,1908,1909.5,1875.5,1880.5,19168200,1880.5
2023/2/3,1887,1895.5,1882.5,1891.5,16015500,1891.5
2023/2/6,1909,1934.5,1908,1913.5,30031400,1913.5
2023/2/7,1920,1923.5,1896.5,1897,20138300,1897
2023/2/8,1902,1904.5,1895.5,1897.5,13623900,1897.5
2023/2/9,1900,1923,1883,1901,34568700,1901
2023/2/10,1885.5,1891,1869,1879,34846600,1879
2023/2/13,1870,1880,1857,1876.5,21137100,1876.5
2023/2/14,1894.5,1896.5,1878.5,1882.5,18133700,1882.5
2023/2/15,1890,1893,1868.5,1874,21936500,1874
2023/2/16,1888.5,1915,1884.5,1913,29791200,1913
2023/2/17,1893,1910.5,1891,1907.5,21230800,1907.5
2023/2/20,1916,1917,1900,1902.5,12704000,1902.5
2023/2/21,1900,1901.5,1889.5,1890,16937100,1890
2023/2/22,1878,1879,1852,1865,29022300,1865
2023/2/24,1856,1865.5,1854,1858,19154000,1858
2023/2/27,1857,1861.5,1850,1857,16540600,1857
2023/2/28,1857.5,1869,1855.5,1862.5,19162000,1862.5
2023/3/1,1866,1870.5,1858.5,1863.5,18027000,1863.5
2023/3/2,1860,1881.5,1860,1863.5,20227600,1863.5
2023/3/3,1866,1886,1861,1884.5,27371700,1884.5
2023/3/6,1893,1915,1890,1905.5,28716300,1905.5
2023/3/7,1900,1914.5,1893,1914.5,20837300,1914.5
2023/3/8,1904,1915.5,1903,1907.5,18703000,1907.5
